time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-30 00:00:00+00:00,45,20,281,26
2024-01-31 00:00:00+00:00,5,5,304,22
2024-02-01 00:00:00+00:00,5,5,192,17
2024-02-02 00:00:00+00:00,77,30,366,20
2024-02-03 00:00:00+00:00,22,11,86,10
2024-02-04 00:00:00+00:00,23,12,99,12
2024-02-05 00:00:00+00:00,9,8,108,21
2024-02-06 00:00:00+00:00,5,5,130,19
2024-02-07 00:00:00+00:00,4,4,190,17
2024-02-08 00:00:00+00:00,13,8,480,163
2024-02-09 00:00:00+00:00,42,19,406,72
2024-02-10 00:00:00+00:00,6,6,145,31
2024-02-11 00:00:00+00:00,7,5,249,22
2024-02-12 00:00:00+00:00,5,4,260,19
