time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,37,19,431,65
2024-05-30 00:00:00+00:00,36,10,592,53
2024-05-31 00:00:00+00:00,40,19,188,34
2024-06-01 00:00:00+00:00,9,5,173,36
2024-06-02 00:00:00+00:00,39,19,165,46
2024-06-03 00:00:00+00:00,35,15,165,50
2024-06-04 00:00:00+00:00,15,10,325,55
2024-06-05 00:00:00+00:00,9,6,111,35
2024-06-06 00:00:00+00:00,16,11,313,52
2024-06-07 00:00:00+00:00,12,8,314,38
2024-06-08 00:00:00+00:00,30,15,717,46
2024-06-09 00:00:00+00:00,6,6,373,46
2024-06-10 00:00:00+00:00,11,7,123,40
2024-06-11 00:00:00+00:00,8,8,175,36
