time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-05 00:00:00+00:00,23,7,205,36
2024-09-06 00:00:00+00:00,2,2,244,36
2024-09-07 00:00:00+00:00,1,1,86,19
2024-09-08 00:00:00+00:00,11,4,88,18
2024-09-09 00:00:00+00:00,5,4,109,33
2024-09-10 00:00:00+00:00,7,7,188,30
2024-09-11 00:00:00+00:00,21,4,149,21
2024-09-12 00:00:00+00:00,4,4,230,42
2024-09-13 00:00:00+00:00,1,1,110,26
2024-09-14 00:00:00+00:00,5,4,175,16
2024-09-15 00:00:00+00:00,6,4,84,21
2024-09-16 00:00:00+00:00,12,6,300,24
2024-09-17 00:00:00+00:00,15,15,1895,223
2024-09-18 00:00:00+00:00,19,19,1940,223
