time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-21 00:00:00+00:00,49,16,113,48
2024-04-22 00:00:00+00:00,14,9,358,58
2024-04-23 00:00:00+00:00,19,11,251,43
2024-04-24 00:00:00+00:00,98,25,444,56
2024-04-25 00:00:00+00:00,15,10,250,62
2024-04-26 00:00:00+00:00,35,16,207,40
2024-04-27 00:00:00+00:00,11,8,112,42
2024-04-28 00:00:00+00:00,174,48,247,50
2024-04-29 00:00:00+00:00,19,10,133,36
2024-04-30 00:00:00+00:00,11,8,661,52
2024-05-01 00:00:00+00:00,8,8,235,44
2024-05-02 00:00:00+00:00,3,3,176,46
2024-05-03 00:00:00+00:00,47,22,217,42
2024-05-04 00:00:00+00:00,21,9,136,31
