time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,49,21,731,79
2024-03-01 00:00:00+00:00,22,11,479,53
2024-03-02 00:00:00+00:00,5,5,165,20
2024-03-03 00:00:00+00:00,5,5,339,27
2024-03-04 00:00:00+00:00,32,16,293,34
2024-03-05 00:00:00+00:00,6,5,339,29
2024-03-06 00:00:00+00:00,10,8,372,30
2024-03-07 00:00:00+00:00,11,11,216,20
2024-03-08 00:00:00+00:00,8,7,131,20
2024-03-09 00:00:00+00:00,8,8,167,15
2024-03-10 00:00:00+00:00,8,6,530,220
2024-03-11 00:00:00+00:00,20,18,962,327
2024-03-12 00:00:00+00:00,14,14,789,253
2024-03-13 00:00:00+00:00,75,21,943,233
